anomaly_type,競馬場,競走年月日,レース番号,detail
SOURCE_HORSELIST_MISSING,姫路,20001109,4,
SOURCE_HORSELIST_MISSING,姫路,20001109,5,
SOURCE_HORSELIST_MISSING,姫路,20001109,6,
SOURCE_HORSELIST_MISSING,姫路,20001109,7,
SOURCE_HORSELIST_MISSING,姫路,20001109,8,
SOURCE_HORSELIST_MISSING,姫路,20001109,9,
PAYBACK_MULTIROW,三条,19990919,8,source_rows=2
PAYBACK_MULTIROW,三条,19991029,5,source_rows=2
PAYBACK_MULTIROW,三条,19991218,9,source_rows=2
PAYBACK_MULTIROW,上山,19980622,2,source_rows=2
PAYBACK_MULTIROW,上山,19980921,2,source_rows=2
PAYBACK_MULTIROW,上山,19990511,3,source_rows=2
PAYBACK_MULTIROW,上山,19990914,9,source_rows=2
PAYBACK_MULTIROW,上山,19990915,7,source_rows=2
PAYBACK_MULTIROW,上山,19990928,6,source_rows=2
PAYBACK_MULTIROW,上山,19991003,5,source_rows=2
PAYBACK_MULTIROW,上山,19991019,6,source_rows=2
PAYBACK_MULTIROW,上山,19991101,5,source_rows=2
PAYBACK_MULTIROW,上山,19991123,8,source_rows=2
PAYBACK_MULTIROW,上山,19991129,7,source_rows=2
PAYBACK_MULTIROW,上山,19991212,6,source_rows=2
PAYBACK_MULTIROW,上山,20000926,5,source_rows=2
PAYBACK_MULTIROW,上山,20001015,4,source_rows=2
PAYBACK_MULTIROW,上山,20010417,6,source_rows=2
PAYBACK_MULTIROW,上山,20010527,2,source_rows=2
PAYBACK_MULTIROW,上山,20010527,6,source_rows=2
PAYBACK_MULTIROW,上山,20010930,3,source_rows=2
PAYBACK_MULTIROW,上山,20011002,9,source_rows=2
PAYBACK_MULTIROW,上山,20020430,5,source_rows=2
PAYBACK_MULTIROW,上山,20020505,9,source_rows=2
PAYBACK_MULTIROW,上山,20020603,9,source_rows=2
PAYBACK_MULTIROW,上山,20020730,11,source_rows=2
PAYBACK_MULTIROW,上山,20021022,4,source_rows=2
PAYBACK_MULTIROW,上山,20021103,9,source_rows=2
PAYBACK_MULTIROW,上山,20021209,7,source_rows=2
