競馬場,競走年月日,レース番号,発走時刻,競走種類名称,レース名,副賞名1,副賞名2,副賞名3,副賞名4,副賞名5,副賞名6,副賞名7,副賞名8,副賞名9,副賞名10,副賞名11,副賞名12,副賞名13,副賞名14,副賞名15,芝ダート区分,回り,距離,天候,馬場,頭数,条件,1着賞金(円),2着賞金(円),3着賞金(円),4着賞金(円),5着賞金(円),上がり4F,上がり3F,ハロンタイム1,ハロンタイム2,ハロンタイム3,ハロンタイム4,ハロンタイム5,ハロンタイム6,ハロンタイム7,ハロンタイム8,ハロンタイム9,ハロンタイム10,ハロンタイム11,ハロンタイム12,ハロンタイム13,ハロンタイム14,ハロンタイム15,コーナー名称1,コーナー名称2,コーナー名称3,コーナー名称4,コーナー名称5,コーナー名称6,コーナー名称7,コーナー名称8,コーナー通過順1,コーナー通過順2,コーナー通過順3,コーナー通過順4,コーナー通過順5,コーナー通過順6,コーナー通過順7,コーナー通過順8
盛岡,20260825,12,1810,普通,ポーチュラカ賞Ｂ１,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,800000,280000,160000,104000,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,1,1435,普通,２歳五,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,7,サラブレッド系　２歳,2100000,840000,525000,315000,210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,2,1505,普通,２歳四,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,9,サラブレッド系　２歳,2300000,920000,575000,345000,230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,3,1535,普通,３歳四,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,6,サラブレッド系　３歳,1200000,480000,300000,180000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,4,1605,普通,"Ｃ２二 三 四ア",,,,,,,,,,,,,,,,ダート,左,1500,晴,良,12,サラブレッド系　一般,1000000,400000,250000,150000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,5,1640,普通,３歳三,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　３歳,1200000,480000,300000,180000,120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,6,1715,普通,"Ｃ２二 三 四ウ",,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,1000000,400000,250000,150000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,7,1750,普通,"馬い！たまごはサンサンエッグ津田沼店Ｃ２二 三 四イ",,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,1000000,400000,250000,150000,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,8,1825,特別,屏風ヶ浦スプリントＢ２選抜馬,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,3000000,1200000,750000,450000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,9,1900,特別,灯篭賞３歳選抜馬,,,,,,,,,,,,,,,,ダート,左,1500,晴,良,13,サラブレッド系　３歳,1600000,640000,400000,240000,160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,10,1935,特別,ユウガオスプリントＢ３選抜馬ウ,,,,,,,,,,,,,,,,ダート,左,1200,晴,良,12,サラブレッド系　一般,2700000,1080000,675000,405000,270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,11,2010,特別,威風堂々特別Ｂ２三Ｂ３一,,,,,,,,,,,,,,,,ダート,左,1600,晴,良,14,サラブレッド系　一般,3000000,1200000,750000,450000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
船橋,20260825,12,2050,特別,夏の大三角賞Ｃ１選抜馬,,,,,,,,,,,,,,,,ダート,左,1800,晴,良,14,サラブレッド系　一般,1800000,720000,450000,270000,180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金沢,20260825,1,1500,普通,Ｃ１六,,,,,,,,,,,,,,,,ダート,右,1400,晴,良,9,"サラブレッド系　一般 定量",450000,153000,81000,58000,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金沢,20260825,2,1540,普通,Ｃ１五,,,,,,,,,,,,,,,,ダート,右,1400,晴,良,9,"サラブレッド系　一般 定量",450000,153000,81000,58000,45000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
